
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
          det_prob[77]      0.47      0.00      0.47      0.47      0.47      0.50      0.99
          det_prob[78]      0.29      0.00      0.29      0.29      0.29      0.50       nan
          det_prob[79]      0.79      0.00      0.79      0.79      0.79      0.50      0.99
          det_prob[80]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[81]      0.56      0.00      0.56      0.56      0.56      0.50      0.99
          det_prob[82]      0.87      0.00      0.87      0.87      0.87      0.50      0.99
          det_prob[83]      0.18      0.00      0.18      0.18      0.18      0.50      0.99
          det_prob[84]      0.37      0.00      0.37      0.37      0.37      0.50      0.99
          det_prob[85]      0.37      0.00      0.37      0.37      0.37      0.50      0.99
          det_prob[86]      0.73      0.00      0.73      0.73      0.73      0.50      0.99
          det_prob[87]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[88]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[89]      0.77      0.00      0.77      0.77      0.77      0.50      0.99
          det_prob[90]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
          det_prob[91]      0.23      0.00      0.23      0.23      0.23      0.50      0.99
          det_prob[92]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
          det_prob[93]      0.18      0.00      0.18      0.18      0.18      0.50      0.99
          det_prob[94]      0.64      0.00      0.64      0.64      0.64      0.50      0.99
          det_prob[95]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
          det_prob[96]      0.37      0.00      0.37      0.37      0.37      0.50      0.99
          det_prob[97]      0.51      0.00      0.51      0.51      0.51      0.50      0.99
          det_prob[98]      0.72      0.00      0.72      0.72      0.72      0.50      0.99
          det_prob[99]      0.25      0.00      0.25      0.25      0.25      0.50      0.99
         det_prob[100]      0.85      0.00      0.85      0.85      0.85      0.50      0.99
         det_prob[101]      0.29      0.00      0.29      0.29      0.29      0.50      0.99
         det_prob[102]      0.86      0.00      0.86      0.86      0.86      0.50       nan
         det_prob[103]      0.54      0.00      0.54      0.54      0.54      0.50      0.99
         det_prob[104]      0.35      0.00      0.35      0.35      0.35      0.50      0.99
         det_prob[105]      0.41      0.00      0.41      0.41      0.41      0.50      0.99
         det_prob[106]      0.66      0.00      0.66      0.66      0.66      0.50      0.99
         det_prob[107]      0.34      0.00      0.34      0.34      0.34      0.50      0.99
         det_prob[108]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
         det_prob[109]      0.70      0.00      0.70      0.70      0.70      0.50      0.99
         det_prob[110]      0.46      0.00      0.46      0.46      0.46      0.50      0.99
         det_prob[111]      0.81      0.00      0.81      0.81      0.81      0.50      0.99
         det_prob[112]      0.15      0.00      0.15      0.15      0.15      0.50      0.99
         det_prob[113]      0.70      0.00      0.70      0.70      0.70      0.50      0.99
         det_prob[114]      0.65      0.00      0.65      0.65      0.65      0.50      0.99
         det_prob[115]      0.54      0.00      0.54      0.54      0.54      0.50      0.99
         det_prob[116]      0.31      0.00      0.31      0.31      0.31      0.50      0.99
         det_prob[117]      0.51      0.00      0.51      0.51      0.51      0.50      0.99
         det_prob[118]      0.37      0.00      0.37      0.37      0.37      0.50      0.99
         det_prob[119]      0.48      0.00      0.48      0.48      0.48      0.50      0.99
         det_prob[120]      0.66      0.00      0.66      0.66      0.66      0.50      0.99
         det_prob[121]      0.86      0.00      0.86      0.86      0.86      0.50      0.99
         det_prob[122]      0.58      0.00      0.58      0.58      0.58      0.50      0.99
         det_prob[123]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
         det_prob[124]      0.18      0.00      0.18      0.18      0.18      0.50      0.99
         det_prob[125]      0.69      0.00      0.69      0.69      0.69      0.50      0.99
         det_prob[126]      0.58      0.00      0.58      0.58      0.58      0.50      0.99
         det_prob[127]      0.65      0.00      0.65      0.65      0.65      0.50      0.99
         det_prob[128]      0.51      0.00      0.51      0.51      0.51      0.50      0.99
